iter	Passed	Remaining
0	2	2031
1	3	1548
2	3	1313
3	4	1179
4	5	1087
5	6	1006
6	7	998
7	8	1030
8	9	1028
9	10	1004
10	10	973
11	11	953
12	12	937
13	13	918
14	13	897
15	14	880
16	14	866
17	15	859
18	16	855
19	17	860
20	18	856
21	19	845
22	19	835
23	20	823
24	20	812
25	21	818
26	22	822
27	23	832
28	26	882
29	27	893
30	28	885
31	29	878
32	29	870
33	30	860
34	30	851
35	31	843
36	32	835
37	32	827
38	33	822
39	34	817
40	34	812
41	35	807
42	36	802
43	37	808
44	38	816
45	39	823
46	40	819
47	41	816
48	42	815
49	42	811
50	43	808
51	44	805
52	44	801
53	45	797
54	46	793
55	46	788
56	47	784
57	48	780
58	48	776
59	49	772
60	49	768
61	50	765
62	51	766
63	52	768
64	53	772
65	54	768
66	55	766
67	55	763
68	56	760
69	57	759
70	57	757
71	58	756
72	59	755
73	60	753
74	60	750
75	61	748
76	62	745
77	62	742
78	63	739
79	64	737
80	64	734
81	65	731
82	65	726
83	66	729
84	68	734
85	69	736
86	70	734
87	70	733
88	71	732
89	72	732
90	73	733
91	74	732
92	74	730
93	75	727
94	76	725
95	76	723
96	77	722
97	78	720
98	79	719
99	79	718
100	80	716
101	81	716
102	82	715
103	83	717
104	84	718
105	85	717
106	85	714
107	86	712
108	86	711
109	87	709
110	88	707
111	88	705
112	89	703
113	90	700
114	90	699
115	91	697
116	92	694
117	92	692
118	93	690
119	93	688
120	94	686
121	94	683
122	95	681
123	96	680
124	97	680
125	98	682
126	98	680
127	99	678
128	100	677
129	101	676
130	101	675
131	102	673
132	103	672
133	103	670
134	104	669
135	105	667
136	105	665
137	106	664
138	106	662
139	107	661
140	108	659
141	108	656
142	109	654
143	109	653
144	110	652
145	111	651
146	112	652
147	113	653
148	114	651
149	114	650
150	115	649
151	116	647
152	116	646
153	117	644
154	118	643
155	118	642
156	119	641
157	120	640
158	120	638
159	121	637
160	121	634
161	122	633
162	123	631
163	123	630
164	124	628
165	124	627
166	125	626
167	127	628
168	128	629
169	128	629
170	129	628
171	130	628
172	131	627
173	131	626
174	132	625
175	133	623
176	133	622
177	134	621
178	135	620
179	135	619
180	136	618
181	137	616
182	137	615
183	138	614
184	139	613
185	140	613
186	141	613
187	142	613
188	142	612
189	143	612
190	144	610
191	144	609
192	145	608
193	146	607
194	146	606
195	147	604
196	148	603
197	148	602
198	149	600
199	149	599
200	150	597
201	150	596
202	151	594
203	152	593
204	152	591
205	153	590
206	154	590
207	154	590
208	155	589
209	156	589
210	157	590
211	158	589
212	159	588
213	160	587
214	160	586
215	161	585
216	161	584
217	162	582
218	163	581
219	163	580
220	164	578
221	164	577
222	165	576
223	165	575
224	166	573
225	167	572
226	167	571
227	168	570
228	169	569
229	169	567
230	170	566
231	170	565
232	171	564
233	172	564
234	173	563
235	173	562
236	174	561
237	174	559
238	175	558
239	176	557
240	176	556
241	177	555
242	177	553
243	178	552
244	178	551
245	179	550
246	180	549
247	181	550
248	182	549
249	182	548
250	183	547
251	184	546
252	184	544
253	185	543
254	185	542
255	186	541
256	187	541
257	188	540
258	188	540
259	189	538
260	189	537
261	190	536
262	191	535
263	191	534
264	192	533
265	192	532
266	193	530
267	193	529
268	194	528
269	195	528
270	196	528
271	196	527
272	197	526
273	198	525
274	198	524
275	199	523
276	200	522
277	200	521
278	201	520
279	202	519
280	203	519
281	203	519
282	204	518
283	205	517
284	205	516
285	206	515
286	207	514
287	207	513
288	208	512
289	209	511
290	209	510
291	210	510
292	211	509
293	211	509
294	212	508
295	213	507
296	213	506
297	214	504
298	214	503
299	215	502
300	216	501
301	216	501
302	217	500
303	218	500
304	219	499
305	220	499
306	220	498
307	221	497
308	221	496
309	222	494
310	222	493
311	223	493
312	224	492
313	224	491
314	225	490
315	226	489
316	226	488
317	227	487
318	227	486
319	228	485
320	229	484
321	229	483
322	230	482
323	230	481
324	231	480
325	232	480
326	233	480
327	234	479
328	234	478
329	235	477
330	236	477
331	236	476
332	237	475
333	238	474
334	238	473
335	239	472
336	240	472
337	240	471
338	241	470
339	241	469
340	242	468
341	242	467
342	243	466
343	244	465
344	244	464
345	245	463
346	245	462
347	246	461
348	247	460
349	247	460
350	248	459
351	249	459
352	249	458
353	250	457
354	251	456
355	251	455
356	252	454
357	253	454
358	254	453
359	254	453
360	255	452
361	256	452
362	257	451
363	257	450
364	258	449
365	259	449
366	260	448
367	260	447
368	261	446
369	262	446
370	263	446
371	264	445
372	264	444
373	265	444
374	265	443
375	266	442
376	267	441
377	267	440
378	268	439
379	269	439
380	269	438
381	270	437
382	271	436
383	271	436
384	272	435
385	273	434
386	273	433
387	274	432
388	274	431
389	275	430
390	275	429
391	276	428
392	277	428
393	278	427
394	278	427
395	279	426
396	280	425
397	280	424
398	281	424
399	282	423
400	283	422
401	284	422
402	284	421
403	285	421
404	286	420
405	286	419
406	287	419
407	288	418
408	288	417
409	289	416
410	290	415
411	290	415
412	291	414
413	292	414
414	295	416
415	296	416
416	297	415
417	297	414
418	298	413
419	299	413
420	299	412
421	300	411
422	301	410
423	301	410
424	302	409
425	303	408
426	303	407
427	304	406
428	304	405
429	305	404
430	306	404
431	306	403
432	307	402
433	309	403
434	309	402
435	310	402
436	311	401
437	312	401
438	313	400
439	314	399
440	314	398
441	315	398
442	316	397
443	316	396
444	317	395
445	318	395
446	318	394
447	319	393
448	320	392
449	320	392
450	321	391
451	322	390
452	323	390
453	324	389
454	325	389
455	325	388
456	326	387
457	327	387
458	327	386
459	328	385
460	329	384
461	329	384
462	330	383
463	331	382
464	331	381
465	332	380
466	333	380
467	333	379
468	334	378
469	334	377
470	335	376
471	336	376
472	336	375
473	337	374
474	338	374
475	339	373
476	340	372
477	340	372
478	341	371
479	342	370
480	342	369
481	343	369
482	344	368
483	344	367
484	345	367
485	346	366
486	346	365
487	347	364
488	348	363
489	348	362
490	349	362
491	350	361
492	351	361
493	352	360
494	353	360
495	353	359
496	354	359
497	355	358
498	356	357
499	356	356
500	357	355
501	357	355
502	358	354
503	359	353
504	359	352
505	360	351
506	361	351
507	361	350
508	362	349
509	362	348
510	363	347
511	364	347
512	365	346
513	365	345
514	367	345
515	368	345
516	369	344
517	369	344
518	370	343
519	371	342
520	371	341
521	372	341
522	373	340
523	374	339
524	374	339
525	375	338
526	376	337
527	376	336
528	377	335
529	377	335
530	378	334
531	379	333
532	380	332
533	380	332
534	381	331
535	381	330
536	383	330
537	384	329
538	384	329
539	385	328
540	386	327
541	386	326
542	387	326
543	388	325
544	389	324
545	389	324
546	390	323
547	391	322
548	391	321
549	392	321
550	393	320
551	393	319
552	394	318
553	394	317
554	395	317
555	396	316
556	396	315
557	397	314
558	399	314
559	400	314
560	401	313
561	401	313
562	402	312
563	403	311
564	403	310
565	404	310
566	404	309
567	405	308
568	406	307
569	406	306
570	407	306
571	407	305
572	408	304
573	409	303
574	409	302
575	410	302
576	411	301
577	412	300
578	412	300
579	414	300
580	415	299
581	415	298
582	416	297
583	417	297
584	417	296
585	418	295
586	419	294
587	419	294
588	420	293
589	420	292
590	421	291
591	422	291
592	422	290
593	423	289
594	424	288
595	424	287
596	425	287
597	426	286
598	426	285
599	427	285
600	428	284
601	429	284
602	430	283
603	431	282
604	431	281
605	432	281
606	433	280
607	433	279
608	434	279
609	435	278
610	435	277
611	436	276
612	437	276
613	438	275
614	438	274
615	439	273
616	439	273
617	440	272
618	441	271
619	442	270
620	443	270
621	443	269
622	444	269
623	445	268
624	445	267
625	446	266
626	446	265
627	447	265
628	448	264
629	449	263
630	449	263
631	450	262
632	451	261
633	451	260
634	452	260
635	453	259
636	453	258
637	454	257
638	455	257
639	455	256
640	456	255
641	457	255
642	458	254
643	458	253
644	459	252
645	460	252
646	460	251
647	461	250
648	462	250
649	462	249
650	463	248
651	464	247
652	464	246
653	465	246
654	466	245
655	466	244
656	467	244
657	468	243
658	468	242
659	469	241
660	469	241
661	470	240
662	471	239
663	472	238
664	472	238
665	473	237
666	474	236
667	475	236
668	475	235
669	476	234
670	477	234
671	478	233
672	479	232
673	479	232
674	480	231
675	481	230
676	482	230
677	483	229
678	483	228
679	484	228
680	485	227
681	485	226
682	486	225
683	486	224
684	487	224
685	488	223
686	488	222
687	489	222
688	490	221
689	490	220
690	491	219
691	492	219
692	493	218
693	494	217
694	494	217
695	495	216
696	496	215
697	496	214
698	497	214
699	498	213
700	498	212
701	499	212
702	500	211
703	500	210
704	501	209
705	502	209
706	502	208
707	503	207
708	504	206
709	504	206
710	505	205
711	506	204
712	506	203
713	507	203
714	508	202
715	509	201
716	510	201
717	510	200
718	511	199
719	512	199
720	512	198
721	513	197
722	514	196
723	514	196
724	515	195
725	515	194
726	516	193
727	517	193
728	517	192
729	518	191
730	519	191
731	519	190
732	520	189
733	520	188
734	521	188
735	522	187
736	523	186
737	523	186
738	524	185
739	525	184
740	526	183
741	526	183
742	527	182
743	528	181
744	528	180
