iter	Passed	Remaining
0	1	159
1	2	145
2	4	147
3	5	135
4	6	127
5	7	124
6	9	122
7	10	116
8	11	111
9	12	109
10	12	104
11	14	104
12	15	103
13	16	101
14	17	100
15	18	98
16	19	96
17	20	95
18	22	94
19	22	91
20	24	90
21	25	89
22	26	88
23	27	87
24	28	85
25	29	84
26	30	82
27	31	82
28	33	81
29	34	79
30	35	78
31	36	77
32	37	76
33	39	75
34	40	74
35	41	73
36	42	71
37	43	70
38	44	68
39	45	67
40	45	66
41	46	63
42	47	62
43	47	61
44	48	59
45	49	58
46	50	57
47	51	56
48	52	54
49	53	53
50	54	52
51	55	51
52	56	49
53	57	48
54	57	47
55	58	46
56	59	45
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	96	0
99	97	0
